id,FacultyName,Type,ProgramName,ProgramUrl
56,Faculty of Management,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
57,Faculty of Management,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
58,Faculty of Management,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
59,Faculty of Management,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
60,Faculty of Education,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
61,Faculty of Education,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
62,Faculty of Education,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
63,Faculty of Education,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
64,Faculty of Education,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
65,Faculty of Education,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
66,Faculty of Education,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
67,Faculty of Education,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
68,Faculty of Education,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
69,Faculty of Education,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
70,Faculty of Education,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
71,Faculty of Education,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
72,Faculty of Education,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
73,Faculty of Education,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
74,Faculty of Education,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
75,Faculty of Education,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
76,Faculty of Education,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
77,Faculty of Education,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
78,Faculty of Education,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
79,Faculty of Education,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
80,Faculty of Education,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
81,Faculty of Education,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
82,Faculty of Education,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
83,Faculty of Education,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
84,Faculty of Education,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
85,Faculty of Education,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
86,Faculty of Education,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
87,Faculty of Science,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
88,Faculty of Science,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
89,Faculty of Science,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
90,Faculty of Science,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
91,Faculty of Science,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
92,Faculty of Science,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
93,Faculty of Science,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
94,Faculty of Science,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
95,Faculty of Science,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
96,Faculty of Management,Postgraduate,['POSTGRADUATE PROGRAMS',http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
97,Faculty of Science,Postgraduate,['POSTGRADUATE PROGRAMS',http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
